time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1577836979.79960704,0.01229783,0.00801878,-nan,2860.00000000,0.01229783,0.000000,0.000000
1577836979.89944291,0.01264061,0.01078073,-nan,5717.00000000,0.01298339,0.000000,0.000000
1577836979.99928021,0.01128184,0.00662708,-nan,4792.00000000,0.00856431,0.000000,0.000000
1577836980.09991503,0.01042161,0.00599594,-nan,5487.00000000,0.00784091,0.000000,0.000000
1577836980.19976902,0.00984739,0.00567007,-nan,5940.00000000,0.00755053,0.000000,0.000000
1577836980.29959798,0.01132241,0.00599980,0.00000335,6351.00000000,0.01869747,0.000000,0.000000
1577836980.39945602,0.01230799,0.00495717,0.00000331,6670.00000000,0.01822147,0.000000,0.000000
1577836980.49929190,0.01458425,0.00543435,0.00000382,6783.00000000,0.03051812,0.000000,0.000000
1577836980.59993601,0.01558666,0.00640058,0.00000378,7156.00000000,0.02360593,0.000000,0.000000
1577836980.69978285,0.01594350,0.00436071,0.00000364,7369.00000000,0.01915507,0.000000,0.000000
1577836980.79962015,0.01619041,0.00425085,0.00000385,7572.00000000,0.01865949,0.000000,0.000000
1577836980.89947104,0.01673753,0.00624668,0.00000382,7716.00000000,0.02275587,0.000000,0.000000
1577836980.99931002,0.01713364,0.00399455,0.00000390,7776.00000000,0.02188693,0.000000,0.000000
1577836981.09994102,0.01766746,0.00647595,0.00000413,7957.00000000,0.02460715,0.000000,0.000000
1577836981.19979382,0.01800712,0.00424309,0.00000402,8003.00000000,0.02276235,0.000000,0.000000
1577836981.29963589,0.01828057,0.00431970,0.00000394,8097.00000000,0.02238236,0.000000,0.000000
1577836981.39946699,0.01833414,0.00339974,0.00000389,7636.00000000,0.01919113,0.000000,0.000000
1577836981.49928093,0.01845248,0.00346064,0.00000404,7870.00000000,0.02046435,0.000000,0.000000
1577836981.59990597,0.01865203,0.00482342,0.00000400,8111.00000000,0.02224396,0.000000,0.000000
1577836981.69974613,0.01874012,0.00424931,0.00000471,8338.00000000,0.02041377,0.000000,0.000000
1577836981.79958701,0.01884295,0.00422865,0.00000474,8502.00000000,0.02089953,0.000000,0.000000
1577836981.89942408,0.01891999,0.00373890,0.00000394,8663.00000000,0.02053791,0.000000,0.000000
1577836981.99967408,0.01923746,0.00614702,0.00000455,8818.00000000,0.02622177,0.000000,0.000000
